5,0
0,48,0
0,46,0
0,44,0
0,42,0
0,4,0
0,38,0
0,36,0
0,34,0
0,32,0
0,3,0
0,28,0
0,26,0
0,24,0
0,22,0
0,2,0
0,18,0
0,16,0
0,14,0
0,12,0
0,1,0
0,08,0
0,06,0
0,04,0
0,02,0
0,0
-0,02,0
-0,04,0
-0,0600000000000001,0
-0,0800000000000001,0
-0,1,0
-0,12,0
-0,14,0
-0,16,637
-0,18,0
-0,2,0
-0,22,0
-0,24,0
-0,26,0
-0,28,0
-0,3,0
-0,32,0
-0,34,0
-0,36,0
-0,38,0
-0,4,637
-0,42,0
-0,44,0
-0,46,0
-0,48,1274
-0,5,0
-0,52,0
-0,54,0
-0,56,0
-0,58,0
-0,6,637
-0,62,637
-0,64,0
-0,66,637
-0,68,637
-0,7,0
-0,72,1274
-0,74,1274
-0,76,1274
-0,78,1274
-0,8,0
-0,82,1274
-0,84,2548
-0,86,3185
-0,88,4459
-0,9,2548
-0,92,1274
-0,94,1274
-0,96,637
-0,98,2548
-1,3822
-1,02,3185
-1,04,5733
-1,06,5733
-1,08,3822
-1,1,7644
-1,12,7644
-1,14,8918
-1,16,7644
-1,18,4459
-1,2,10192
-1,22,11466
-1,24,7644
-1,26,11466
-1,28,10829
-1,3,9555
-1,32,20384
-1,34,15288
-1,36,11466
-1,38,19747
-1,4,14014
-1,42,16562
-1,44,12740
-1,46,15288
-1,48,15925
-1,5,15925
-1,52,17836
-1,54,15925
-1,56,11466
-1,58,12103
-1,6,8918
-1,62,4459
-1,64,11466
-1,66,12740
-1,68,8281
-1,7,5733
-1,72,7007
-1,74,3822
-1,76,1911
-1,78,7644
-1,8,1274
-1,82,1274
-1,84,3822
-1,86,2548
-1,88,1274
-1,9,3822
-1,92,637
-1,94,1911
-1,96,1274
-1,98,1274
-2,637
-2,02,0
-2,04,1274
-2,06,637
-2,08,0
-2,1,0
-2,12,0
-2,14,0
-2,16,0
-2,18,637
-2,2,1911
-2,22,637
-2,24,0
-2,26,0
-2,28,637
-2,3,0
-2,32,0
-2,34,0
-2,36,0
-2,38,637
-2,4,0
-2,42,0
-2,44,637
-2,46,0
-2,48,0
-2,5,0
-2,52,0
-2,54,0
-2,56,637
-2,58,0
-2,6,637
-2,62,0
-2,64,637
-2,66,637
-2,68,637
-2,7,0
-2,72,637
-2,74,0
-2,76,637
-2,78,0
-2,8,0
-2,82,0
-2,84,1911
-2,86,637
-2,88,0
-2,9,0
-2,92,637
-2,94,0
-2,96,0
-2,98,637
-3,637
-3,02,637
-3,04,1274
-3,06,0
-3,08,637
-3,1,0
-3,12,0
-3,14,0
-3,16,0
-3,18,0
-3,2,637
-3,22,1274
-3,24,637
-3,26,0
-3,28,0
-3,3,0
-3,32,0
-3,34,1911
-3,36,637
-3,38,0
-3,4,637
-3,42,1274
-3,44,637
-3,46,1911
-3,48,637
-3,5,0
-3,52,0
-3,54,637
-3,56,637
-3,58,0
-3,6,0
-3,62,0
-3,64,0
-3,66,637
-3,68,0
-3,7,0
-3,72,0
-3,74,0
-3,76,0
-3,78,637
-3,8,0
-3,82,0
-3,84,0
-3,86,0
-3,88,0
-3,9,0
-3,92,637
-3,94,0
-3,96,0
-3,98,637
-4,0
-4,02,0
-4,04,0
-4,06,0
-4,08,0
-4,1,0
-4,12,0
-4,14,0
-4,16,637
-4,18,0
-4,2,0
-4,22,0
-4,24,0
-4,26,637
-4,28,0
-4,3,0
-4,32,0
-4,34,0
-4,36,0
-4,38,0
-4,4,0
-4,42,0
-4,44,0
-4,46,0
-4,48,0
-4,5,0
-5,0
