5,0
0,48,0
0,46,0
0,44,0
0,42,0
0,4,0
0,38,0
0,36,0
0,34,0
0,32,0
0,3,0
0,28,0
0,26,0
0,24,0
0,22,0
0,2,0
0,18,0
0,16,0
0,14,0
0,12,0
0,1,0
0,08,0
0,06,0
0,04,0
0,02,0
0,0
-0,02,18473
-0,04,11466
-0,0600000000000001,6370
-0,0800000000000001,7007
-0,1,4459
-0,12,3822
-0,14,5733
-0,16,3185
-0,18,3822
-0,2,3822
-0,22,1911
-0,24,0
-0,26,637
-0,28,0
-0,3,0
-0,32,1911
-0,34,0
-0,36,637
-0,38,637
-0,4,1274
-0,42,0
-0,44,0
-0,46,0
-0,48,1911
-0,5,1274
-0,52,0
-0,54,0
-0,56,637
-0,58,637
-0,6,637
-0,62,637
-0,64,637
-0,66,637
-0,68,637
-0,7,637
-0,72,1911
-0,74,2548
-0,76,1274
-0,78,1274
-0,8,0
-0,82,1274
-0,84,2548
-0,86,3822
-0,88,4459
-0,9,2548
-0,92,1911
-0,94,1274
-0,96,637
-0,98,3185
-1,3822
-1,02,3185
-1,04,6370
-1,06,6370
-1,08,3822
-1,1,8281
-1,12,7644
-1,14,8918
-1,16,8281
-1,18,4459
-1,2,10829
-1,22,12103
-1,24,8281
-1,26,12103
-1,28,12103
-1,3,10829
-1,32,21658
-1,34,15288
-1,36,12740
-1,38,21021
-1,4,15288
-1,42,19110
-1,44,14014
-1,46,17836
-1,48,17836
-1,5,17836
-1,52,21021
-1,54,16562
-1,56,15288
-1,58,12740
-1,6,12740
-1,62,6370
-1,64,13377
-1,66,14651
-1,68,8918
-1,7,8918
-1,72,7644
-1,74,4459
-1,76,2548
-1,78,8918
-1,8,2548
-1,82,2548
-1,84,6370
-1,86,3822
-1,88,1274
-1,9,3822
-1,92,1274
-1,94,2548
-1,96,2548
-1,98,1274
-2,637
-2,02,637
-2,04,1274
-2,06,637
-2,08,0
-2,1,637
-2,12,0
-2,14,0
-2,16,0
-2,18,1274
-2,2,1911
-2,22,637
-2,24,0
-2,26,0
-2,28,637
-2,3,0
-2,32,0
-2,34,0
-2,36,637
-2,38,637
-2,4,0
-2,42,637
-2,44,637
-2,46,0
-2,48,0
-2,5,0
-2,52,0
-2,54,0
-2,56,1274
-2,58,0
-2,6,637
-2,62,0
-2,64,637
-2,66,637
-2,68,637
-2,7,0
-2,72,1274
-2,74,0
-2,76,637
-2,78,0
-2,8,0
-2,82,0
-2,84,1911
-2,86,637
-2,88,0
-2,9,0
-2,92,1274
-2,94,0
-2,96,0
-2,98,1274
-3,637
-3,02,637
-3,04,1274
-3,06,0
-3,08,637
-3,1,0
-3,12,0
-3,14,0
-3,16,0
-3,18,0
-3,2,637
-3,22,1274
-3,24,637
-3,26,0
-3,28,0
-3,3,0
-3,32,0
-3,34,1911
-3,36,1274
-3,38,0
-3,4,637
-3,42,1274
-3,44,637
-3,46,2548
-3,48,637
-3,5,637
-3,52,637
-3,54,637
-3,56,637
-3,58,0
-3,6,0
-3,62,0
-3,64,0
-3,66,637
-3,68,0
-3,7,0
-3,72,0
-3,74,0
-3,76,0
-3,78,637
-3,8,0
-3,82,0
-3,84,0
-3,86,0
-3,88,0
-3,9,0
-3,92,637
-3,94,0
-3,96,0
-3,98,637
-4,0
-4,02,0
-4,04,0
-4,06,0
-4,08,0
-4,1,0
-4,12,0
-4,14,0
-4,16,637
-4,18,0
-4,2,0
-4,22,0
-4,24,0
-4,26,637
-4,28,0
-4,3,0
-4,32,0
-4,34,0
-4,36,0
-4,38,0
-4,4,0
-4,42,0
-4,44,0
-4,46,0
-4,48,0
-4,5,0
-5,0
